Timestamp,Date,Currency,AmtLC,DebitAccount,CreditAccount,Comment,Party,Location,Ledger,Flags,SubmittedBy,Device,IP,EntryID
12.07.2026 06:53:00,11.07.2026,CHF,13,Life PG,CC TCS VP,Drinks & Kaffee,Badi Thusis,Thusis,PG,,bulk-import,manual CSV import,,e-b6efdd6f7a
12.07.2026 06:53:00,11.07.2026,CHF,70,Restaurants (Family) PG,CC TCS PG,#DD3,Badi Thusis,Thusis,PG,,bulk-import,manual CSV import,,e-fa1404e56e
12.07.2026 06:54:00,11.07.2026,CHF,18,Sport & Hobbies & Leisure PG,CC TCS PG,Eintritt,Badi Thusis,Thusis,PG,,bulk-import,manual CSV import,,e-4c797e9dd0
12.07.2026 06:54:00,11.07.2026,CHF,6,Life PG,CC TCS PG,Drinks & Kaffee,BadinThusis,Thusis,PG,,bulk-import,manual CSV import,,e-31fe354260
12.07.2026 06:55:00,11.07.2026,CHF,104.83,Admin & Transfer PG,CC TCS VP,Tanken und Einkauf,Coop,Thusis,PG,,bulk-import,manual CSV import,,e-4b86b0eca6
12.07.2026 06:55:00,11.07.2026,CHF,20.83,Sport & Hobbies & Leisure PG,Admin & Transfer PG,Tanken und Einkauf,Coop,Thusis,PG,,bulk-import,manual CSV import,,e-e57b6fa61f
12.07.2026 06:55:00,11.07.2026,CHF,84,Vacation & Leisure PG,Admin & Transfer PG,Reclass Tanken,Coop,Thusis,PG,,bulk-import,manual CSV import,,e-fb6e0f9f8d
13.07.2026 06:39:00,12.07.2026,CHF,17.1,Life VP,CC TCS VP,Snack,BP-Tankstelle,Coldrerio,VP,,bulk-import,manual CSV import,,e-d0422c9599
13.07.2026 06:39:00,12.07.2026,CHF,1,Life VP,CC TCS VP,WC,BP Tankstelle,Coldrerio,PG,,bulk-import,manual CSV import,,e-a19df2c6af
13.07.2026 06:40:00,12.07.2026,CHF,1,Life PG,CC TCS PG,WC,BP Tankstelle,Coldrerio,PG,,bulk-import,manual CSV import,,e-f10cec9c9e
13.07.2026 06:40:00,12.07.2026,CHF,16.6,Life PG,CC TCS PG,"Drinks & Kaffee, Snack",BP Tankstelle,Coldrerio,PG,,bulk-import,manual CSV import,,e-055dade872
13.07.2026 06:41:00,12.07.2026,EUR,45,Restaurants (Family) PG,SQ WS EUR PG (#315),#DD3,Union Lido: Pizze e Sapori,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-31202cf915
13.07.2026 06:42:00,12.07.2026,EUR,32.5,Life PG,SQ WS EUR PG (#315),Snack,Union Lido: LIDO,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-c1b66171f7
13.07.2026 06:42:00,12.07.2026,EUR,13.38,Life PG,SQ WS EUR PG (#315),"Drinks & Kaffee, Snack",Autogrill,IT,PG,,bulk-import,manual CSV import,,e-e3096e20a5
14.07.2026 07:00:00,13.07.2026,EUR,5,Sport & Hobbies & Leisure VP,SQ WS EUR VP,Trampolin&Park,De Cintio Federico,IT-Cavallino,VP,,bulk-import,manual CSV import,,e-fb5f217d66
14.07.2026 07:00:00,13.07.2026,EUR,10,Sport & Hobbies & Leisure VP,SQ WS EUR VP,Trampolin&Park,De Cintio Federico,IT-Cavallino,VP,,bulk-import,manual CSV import,,e-5532ab810c
14.07.2026 07:01:00,13.07.2026,EUR,11.13,Groceries VP,SQ WS EUR VP,Einkauf Lebensmittel,La Torre di Catelli,IT-Cavallino,VP,,bulk-import,manual CSV import,,e-9bed80dec9
14.07.2026 07:01:00,13.07.2026,EUR,16.05,Groceries VP,SQ WS EUR VP,Einkauf Lebensmittel,Union Lido: Tourist Market,IT-Cavallino,VP,,bulk-import,manual CSV import,,e-d6c1fe726c
14.07.2026 07:02:00,13.07.2026,EUR,6,Life VP,SQ WS EUR VP,Snack,Union Lido,IT-Cavallino,VP,,bulk-import,manual CSV import,,e-649b1bc48f
14.07.2026 07:04:00,13.07.2026,EUR,22.8,Groceries PG,SQ WS EUR PG (#315),Einkauf Lebensmittel,Union Lido: Tourist Market,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-0fdc21a647
14.07.2026 07:05:00,13.07.2026,EUR,64.5,Restaurants (Family) PG,SQ WS EUR PG (#315),#LL3,Union Lido: LIDO,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-97e2cd1e62
14.07.2026 07:06:00,13.07.2026,EUR,50.6,Sport & Hobbies & Leisure PG,SQ WS EUR PG (#315),"Ventilator, WC-Mittel, Besen",Camping Market,IT-Cavallino,PG,,bulk-import,manual CSV import,,e-2c6c90703a
